"lambda_rel","doc_name","domain","question","layout_retrieved","gt","first_hit_rank","recall","source_range"
"0.5","2022666113","Laws","What is the title of the document?","[13957, 13956, 9763, 23447, 25983, 9760, 9759, 23742, 23741, 819]","[12311]","Not Found","0.0","0-75"
"0.5","2022666112","Laws","What led to the inception of the new Norwegian Pharmacy Act in 2001?","[12297, 18792, 12013, 12076, 12301, 12051, 12138, 12020, 12134, 1534]","[12297, 12289]","1","0.5","0-75"
"0.5","2022666112","Laws","At which page does the appendix of this document start?","[25295, 25992, 12267, 2039, 24424, 20751, 22262, 25943, 20178, 7786]","[12267]","3","1.0","0-75"
"0.5","2019713402","Laws","Is there a limit on the number of Red-White-Red Cards issued for regional shortage occupations in Austria?","[1930, 1906, 1941, 1912, 1931, 1948, 1907, 1926, 1949, 1914]","[1930]","1","1.0","0-75"
"0.5","2019713402","Laws","How much is the application fee for the Entrepreneur Work Visa if applied from a country in the Pacific region?","[2097, 2094, 2127, 2126, 1764, 2093, 2065, 2096, 2128, 2095]","[2097]","1","1.0","0-75"
"0.5","2019713402","Laws","What are the two criteria for a partner to earn 20 bonus points for their skilled employment in the context of New Zealand's immigration point system?","[2115, 2116, 2078, 2073, 2077, 2127, 2095, 2055, 2080, 2040]","[2115, 2116]","1","1.0","0-75"
"0.5","2019713402","Laws","Which countries' immigration information does the report primarily provide?","[1988, 865, 862, 551, 15073, 2137, 13949, 38, 859, 13411]","[1748]","Not Found","0.0","0-75"
"0.5","2023555935","Laws","What was the main objective of the Kolarctic CBC programme that funded the Raja-Jooseppi LPOE project?","[19426, 19425, 19424, 19422, 25978, 23136, 19431, 9217, 26350, 20758]","[19426, 19412]","1","0.5","0-75"
"0.5","2023555935","Laws","Was the Parikkala LPOE improving project funded by the European Neighbourhood Instrument?","[19422, 19426, 19420, 19449, 19387, 19417, 14769, 17511, 19419, 8761]","[19422]","1","1.0","0-75"
"0.5","2023555935","Laws","What is a consideration for modernization of LPOEs mentioned for Canada?","[19243, 19237, 19233, 19235, 19244, 19554, 19552, 19507, 19234, 19536]","[19307]","Not Found","0.0","0-75"
"0.5","2023555935","Laws","How many regions are listed on the document's cover?","[7175, 4092, 13959, 7178, 17422, 16984, 1756, 2576, 16575, 7166]","[19198]","Not Found","0.0","0-75"
"0.5","2023555935","Laws","From which page does the report start listing the comparative summary table?","[19204, 19241, 13402, 20321, 18031, 5982, 20326, 18282, 12019, 12011]","[19241]","2","1.0","0-75"
"0.5","2021699566","Laws","How long can a witness be imprisoned for making false statements in their testimony?","[10562, 10561, 10473, 10556, 10354, 10148, 9898, 10717, 10288, 10557]","[10561]","2","1.0","0-75"
"0.5","2021699566","Laws","Can members of the Indian Parliament refer to matters on which a judicial decision is pending during discussions?","[13584, 10716, 10469, 10691, 10465, 10340, 10567, 6582, 18187, 10743]","[10465]","5","1.0","0-75"
"0.5","2021699566","Laws","Do general supervisory committees in Switzerland have different investigative powers compared to PUKs?","[10699, 10727, 10719, 10720, 10721, 10698, 12215, 20247, 20191, 10298]","[10725]","Not Found","0.0","0-75"
"0.5","2021699566","Laws","From which page does the report detail the information about Japan?","[13404, 10767, 11169, 16004, 24601, 2040, 12013, 1755, 10779, 11436]","[10528]","Not Found","0.0","0-75"
"0.5","2023555932","Laws","Is it mandatory for individuals to register their activities if they are arranging or carrying out political influence activities in the UK under the direction of a foreign power?","[19046, 19045, 19026, 19020, 19048, 19033, 19054, 2137, 19029, 13985]","[19036, 19045]","2","0.5","0-75"
"0.5","2023555932","Laws","What is the aim of FIRS according to the Policy Statement on Draft Regulations for the Foreign Influence Registration Scheme?","[19036, 12165, 10185, 16501, 23627, 19023, 7243, 6421, 19027, 19026]","[19023]","6","1.0","0-75"
"0.5","2023555932","Laws","What is the title of the document?","[13957, 13956, 9763, 23447, 25983, 9760, 9759, 23742, 23741, 819]","[19007]","Not Found","0.0","0-75"
"0.5","2023555932","Laws","How many sections does the report have (excluding subsections)?","[19204, 15808, 19205, 19097, 19015, 15810, 19660, 17100, 15921, 19012]","[19011, 19012, 19013, 19014, 19015, 19016, 19017]","5","0.29","0-75"
"0.5","2021700463","Laws","What percentage of the Swedish population aged 17 to 84 smoked e-cigarettes daily in 2017?","[11219, 11040, 11039, 11220, 11221, 10994, 11088, 11289, 11053, 11224]","[11210, 11219]","1","0.5","0-75"
"0.5","2021700463","Laws","How does the usage of e-cigarettes among men compare to women in Sweden based on the data provided?","[11219, 11220, 10995, 11221, 11208, 11243, 11090, 11257, 11209, 11040]","[11210, 11219]","1","0.5","0-75"
"0.5","2021700463","Laws","On which page does the report present a timeline of selected regulatory developments?","[10788, 18119, 10769, 10786, 10987, 19117, 18849, 10787, 18891, 18611]","[10769]","3","1.0","0-75"
"0.5","2020714999","Laws","How many internet pages or websites were deleted or removed by Roskomnadzor under the Law on Fake News by mid-April 2020?","[6243, 6247, 6238, 6244, 6245, 4086, 6271, 6107, 7872, 5990]","[6243, 6237]","1","0.5","0-75"
"0.5","2020714999","Laws","What specific article of the Information Law does Law No. 30-VIQD amend?","[6008, 6005, 6010, 6011, 6013, 1288, 1293, 6003, 8261, 18963]","[6005]","2","1.0","0-75"
"0.5","2020714999","Laws","How many regions are listed on the document's cover?","[7175, 4092, 13959, 7178, 17422, 16984, 1756, 7166, 2576, 6327]","[5976]","Not Found","0.0","0-75"
"0.5","2020714999","Laws","When was the report released?","[13116, 1304, 16884, 13048, 17994, 25059, 23065, 7624, 17550, 2767]","[5977]","Not Found","0.0","0-75"
"0.5","2020714997","Laws","What is the title of the document?","[13957, 13956, 9763, 23447, 25983, 9760, 9759, 23742, 23741, 819]","[5278]","Not Found","0.0","0-75"
"0.5","2021666100","Laws","Can the input VAT paid by a mining company be deducted in Spain?","[8001, 7248, 7648, 7959, 7243, 7986, 7740, 7583, 7620, 7737]","[7959]","4","1.0","0-75"
"0.5","2021666100","Laws","What is the tax abatement percentage that professional cryptocurrency traders with total revenues not over 170,000 euros may claim?","[7494, 7489, 17839, 7477, 7491, 17422, 7487, 16998, 24793, 7712]","[7494]","1","1.0","0-75"
"0.5","2021666100","Laws","Is the government of Jersey applying GST to cryptocurrency block rewards?","[8030, 7921, 7562, 7880, 7793, 7233, 7605, 7229, 7238, 7795]","[7692]","Not Found","0.0","0-75"
"0.5","2021666100","Laws","When was the document released?","[12983, 15612, 24660, 21732, 25217, 25175, 12224, 25205, 25983, 24627]","[7230]","Not Found","0.0","0-75"
"0.5","2023555933","Laws","Is there a fine for network operators in China who fail to authenticate users' identities?","[19151, 19152, 4331, 4341, 19150, 4082, 19148, 4332, 6011, 22817]","[19145, 19151]","1","0.5","0-75"
"0.5","2023555933","Laws","What is the official effective date of the Internet Information Service Algorithmic Recommendation Management Provisions?","[19117, 19120, 6003, 4007, 6220, 6243, 15472, 15387, 9404, 7866]","[19120, 19119]","2","0.5","0-75"
"0.5","2023555933","Laws","How many subsections does Section III have?","[13524, 14046, 24824, 19099, 22322, 3442, 12723, 3902, 11752, 8868]","[19101, 19102, 19095]","Not Found","0.0","0-75"
"0.5","2023555933","Laws","What is the main content of Section III.A?","[12797, 19113, 2125, 4034, 13525, 11351, 18775, 8868, 16702, 5853]","[19144, 19145]","Not Found","0.0","0-75"
"0.5","2023555934","Laws","How has the legal landscape for blasphemy and defamation changed in Belize?","[19182, 19186, 19184, 19191, 19192, 19195, 19194, 19178, 19188, 18982]","[19185, 19186]","2","0.5","0-75"
"0.5","2023555934","Laws","What must a claimant serve if they intend to allege malice in a defamation case where the defendant relies on the defense of Qualified Privilege?","[19186, 24579, 6753, 6305, 22877, 23255, 5109, 4898, 23253, 23260]","[19185, 19186]","1","0.5","0-75"
"0.5","2023555934","Laws","How many regions are listed on the cover?","[25878, 16984, 7175, 24786, 20471, 17479, 19205, 4092, 25812, 24783]","[19175]","Not Found","0.0","0-75"
"0.5","2023555934","Laws","What is the title of the document?","[13957, 13956, 9763, 23447, 25983, 9760, 9759, 23742, 23741, 819]","[19174]","Not Found","0.0","0-75"
"0.5","2023555902","Laws","What may the Amendment Law regarding the Homesh settlement potentially impact?","[13620, 4054, 13618, 4053, 4034, 13811, 25098, 16949, 10187, 4046]","[13620]","1","1.0","0-75"
"0.5","2023555902","Laws","What is the percentage of cases in which the Israeli High Court intervenes in ministerial decisions based on the IDI study?","[13593, 13561, 13459, 12113, 2420, 4839, 5115, 11535, 19190, 20242]","[13593]","1","1.0","0-75"
"0.5","2023555902","Laws","What mechanism allows the Knesset to reenact a law struck down by the Supreme Court according to the proposed judicial reforms?","[13559, 13540, 13618, 13546, 13591, 13622, 8649, 9339, 17605, 18810]","[13559]","1","1.0","0-75"
"0.5","2023555905","Laws","Is it possible for foreign nationals to own land in the United Arab Emirates?","[13931, 13934, 13932, 13935, 13659, 13933, 13825, 12689, 8974, 13936]","[13934, 13927]","2","0.5","0-75"
"0.5","2023555905","Laws","What are the consequences for a foreign national who changes their resident status and moves out of Iran without transferring their real estate rights?","[13793, 1909, 12516, 13958, 12678, 14212, 14008, 13947, 13655, 12691]","[13793]","1","1.0","0-75"
"0.5","2023555920","Laws","Has Greece enacted legislation regarding the registration of Artificial Intelligence systems?","[15232, 15438, 15601, 15410, 16497, 16511, 15394, 15571, 15221, 19111]","[16488]","Not Found","0.0","0-75"
"0.5","2023555920","Laws","Has the United Kingdom introduced a bill concerning the regulation of AI and workers' rights?","[16514, 16507, 15664, 15660, 15658, 1277, 15795, 15662, 15564, 15384]","[16513, 16514]","1","0.5","0-75"
"0.5","2023555911","Laws","Is the EU sanctions framework applicable worldwide?","[15861, 15868, 10449, 20828, 15834, 11996, 15037, 15856, 21911, 14970]","[15856, 15861]","1","1.0","0-75"
"0.5","2023555911","Laws","What significant legislative amendment did Estonia adopt in 2016 in response to human rights violations in foreign countries?","[15848, 14366, 15817, 19036, 4915, 6420, 6558, 6445, 12531, 15820]","[15848]","1","1.0","0-75"
"0.5","2023555911","Laws","What is the title of the document?","[13957, 13956, 9763, 23447, 25983, 9760, 9759, 23742, 23741, 819]","[15802]","Not Found","0.0","0-75"
"0.5","2021687414","Laws","Is the Belt and Road Initiative expected to have a negative impact on Pakistan's local fauna and flora?","[8814, 8692, 8636, 8617, 8541, 8454, 9031, 8709, 8813, 8142]","[8811, 8814]","1","0.5","0-75"
"0.5","2021687414","Laws","What model does China Exim Bank follow, which allows the use of natural resources as collateral for loans?","[8341, 8751, 8115, 8322, 8169, 8564, 8194, 8340, 8743, 8170]","[8341]","1","1.0","0-75"
"0.5","2021687414","Laws","What are the expected economic impacts of the Djibouti International Free Trade Zone once it is completed?","[8213, 8214, 8194, 8226, 8221, 8202, 8200, 14662, 13953, 13952]","[8214]","2","1.0","0-75"
"0.5","2021687414","Laws","How is the Belt and Road Initiative (BRI) addressing the criticisms it has faced according to the researchers at the S. Rajaratnam School of International Studies?","[8162, 8686, 9031, 8829, 9146, 9062, 8692, 8251, 9117, 9071]","[8162]","1","1.0","0-75"
"0.5","2021687414","Laws","From which page does the document start to state the situations of Asia?","[3236, 8961, 8797, 8117, 8921, 3235, 22095, 8116, 8125, 22094]","[8451]","Not Found","0.0","0-75"
"0.5","2023555917","Laws","Does Bulgaria require a three-fourths majority for constitutional amendments?","[15978, 15976, 15979, 15977, 15980, 15989, 15975, 15981, 15982, 15992]","[15977, 15978]","1","1.0","0-75"
"0.5","2023555917","Laws","What type of majority is needed in Austria's National Council to adopt laws with constitutional status?","[15977, 15975, 15976, 15978, 15979, 15981, 15986, 15989, 15982, 15984]","[15989, 15990]","8","0.5","0-75"
"0.5","2023555917","Laws","Does the Constitution of the Philippines require a two-thirds majority to declare war?","[15976, 15979, 15980, 15989, 15984, 15987, 15975, 15988, 15985, 568]","[15987, 15988]","6","1.0","0-75"
"0.5","2023555917","Laws","Explain the distinction between the three broad types of majority vote requirements outlined in the report.","[15985, 15974, 15975, 15981, 15983, 15980, 15984, 15982, 15986, 15990]","[15972, 15973]","Not Found","0.0","0-75"
"0.5","2023555917","Laws","Does Costa Rica require a two-thirds majority of all members for approving international treaties?","[15979, 15976, 15988, 15989, 15980, 15975, 15993, 15978, 15981, 15982]","[15978, 15979]","1","1.0","0-75"
"0.5","2023555917","Laws","On which page does the document list the information about France?","[17146, 2299, 3654, 15210, 13408, 17145, 19190, 13973, 19193, 19213]","[15980, 15981]","Not Found","0.0","0-75"
"0.5","2023555917","Laws","What is the title of the document?","[13957, 13956, 9763, 23447, 25983, 9760, 9759, 23742, 23741, 819]","[15965]","Not Found","0.0","0-75"
"0.5","2023555919","Laws","Is normal operation of a commercial drone prohibited in Brazil if the license has expired for more than 30 days?","[16021, 16083, 16010, 16312, 16086, 16009, 16202, 17395, 16287, 16017]","[16185, 16196]","Not Found","0.0","0-75"
"0.5","2023555919","Laws","How many hours of flying experience with the type of AV for which the license is requested must an applicant have to apply for an AV license in Israel?","[16418, 16408, 16372, 16434, 16420, 16393, 16377, 16012, 16199, 16388]","[16418]","1","1.0","0-75"
"0.5","2023555919","Laws","When was the report released?","[13116, 13048, 1304, 16884, 17994, 25059, 7624, 23065, 17550, 2767]","[15996]","Not Found","0.0","0-75"
"0.5","2023555919","Laws","From which page does the report detail the situations of India?","[5635, 21151, 12125, 5633, 8459, 5636, 5634, 17241, 24778, 13947]","[16326]","Not Found","0.0","0-75"
"0.5","2021687415","Laws","What is the estimated value of the UK's market for automated vehicles by 2035?","[9700, 9729, 10892, 9697, 9703, 9711, 9715, 9714, 9727, 9716]","[9700]","1","1.0","0-75"
"0.5","2021687415","Laws","Which institution in Turkey has the authority for type approval of motor vehicles under EU rules?","[9602, 9619, 9609, 9612, 9253, 9610, 9615, 9708, 9271, 9614]","[9602]","1","1.0","0-75"
"0.5","2021687415","Laws","What regulation requires manufacturers to ensure vehicles minimize the risk of injury to occupants and other road users?","[9316, 9368, 9289, 9260, 9306, 9449, 9366, 9503, 9447, 9364]","[9316]","1","1.0","0-75"
"0.5","2021687415","Laws","How many countries or institutions are listed on the cover?","[20241, 13959, 8145, 20329, 19206, 13738, 24786, 14826, 16516, 20538]","[9238]","Not Found","0.0","0-75"
"0.5","2021687415","Laws","From which page does the document present the information about Spain?","[4989, 21750, 7953, 12212, 12224, 9346, 21745, 12215, 21748, 9326]","[9321]","Not Found","0.0","0-75"
"0.5","2019670779","Laws","Does Israeli law require a specific license for each cosmetic product in addition to a general cosmetic license?","[1534, 1528, 1537, 1529, 1542, 1536, 5842, 1564, 1569, 1548]","[1528]","2","1.0","0-75"
"0.5","2019670779","Laws","How does the TGA relate to the mandatory reporting obligations to the ACCC for adverse events caused by therapeutic goods?","[1282, 1274, 1262, 15261, 15277, 1239, 11273, 18517, 1236, 11157]","[1282]","1","1.0","0-75"
"0.5","2019670779","Laws","How many countries or institutions are listed on the cover of the report?","[20247, 16530, 13973, 19211, 12324, 12720, 15816, 18034, 13640, 8097]","[1198]","Not Found","0.0","0-75"
"0.5","2019670779","Laws","How many pages does the document have?","[15810, 2226, 18028, 15813, 15809, 13528, 18507, 12417, 11881, 2229]","[1746]","Not Found","0.0","0-75"
"0.5","2022666109","Laws","Has a bill been introduced in the US Senate to revise ethylene oxide emissions standards under the Clean Air Act?","[11765, 11064, 11755, 11754, 11874, 1350, 11746, 11761, 10886, 11758]","[11765, 11759]","1","0.5","0-75"
"0.5","2022666109","Laws","On what date did President Biden sign the National Security Memorandum to address IUU fishing and related harmful fishing practices?","[11795, 11794, 6039, 10174, 21464, 6015, 21995, 292, 19060, 14602]","[11795, 11788]","1","0.5","0-75"
"0.5","2022666109","Laws","Did the D.C. Circuit Court find that generation shifting can be considered a system of emission reduction under section 111?","[11759, 11755, 11763, 11761, 7786, 4976, 3360, 22878, 18363, 22850]","[11759]","1","1.0","0-75"
"0.5","2022666109","Laws","How does the Paris Agreement aim to address climate change?","[10187, 11791, 10185, 8176, 10186, 15821, 11611, 24742, 24659, 23404]","[11791]","2","1.0","0-75"
"0.5","2022666109","Laws","Is there a research collaboration between the UK and the US on air quality?","[11797, 11796, 11798, 11807, 11799, 11741, 9213, 11742, 2194, 11814]","[11792, 11797]","1","0.5","0-75"
"0.5","2022666109","Laws","Are Welsh ministers required to consult the natural resources body for Wales before making regulations?","[11856, 11703, 18736, 9462, 10539, 6108, 15795, 16381, 15794, 11958]","[11856]","1","1.0","0-75"
"0.5","2022666109","Laws","Did President Donald J. Trump withdraw the US from the Paris Agreement?","[11792, 11420, 447, 588, 41, 14966, 590, 488, 9111, 11807]","[11792, 11786]","1","0.5","0-75"
"0.5","2022666100","Laws","Is the establishment of administrative organs and the determination of their powers exclusively regulated by law according to the Turkish Constitution?","[11393, 6836, 9763, 12720, 8018, 18937, 21860, 20889, 12723, 13962]","[11386]","Not Found","0.0","0-75"
"0.5","2022666100","Laws","What is the hierarchical status of CBKs that are not issued during and related to a state of emergency?","[11367, 11381, 11380, 11404, 11383, 11368, 11419, 11406, 11395, 11418]","[11367]","1","1.0","0-75"
"0.5","2022666100","Laws","How many pages does the document have?","[15810, 2226, 18028, 15813, 15809, 13528, 12417, 18507, 11881, 2229]","[11420]","Not Found","0.0","0-75"
"0.5","2022666107","Laws","What European standard must structural elements of glued laminated wood and glued solid wood conform to, according to the 2018 Ministerial Decree?","[11534, 11537, 11532, 11535, 11539, 11533, 11538, 11584, 11530, 11518]","[11534]","1","1.0","0-75"
"0.5","2022666107","Laws","What must be done to mass timber with rectangular sections according to the circular issued by the Ministry of Infrastructure and Transportation?","[18664, 19266, 11554, 6165, 1294, 11610, 11542, 11447, 16443, 11306]","[11543]","Not Found","0.0","0-75"
"0.5","2022666107","Laws","How many countries are listed on the cover of the report?","[13959, 7239, 13957, 15903, 13640, 7257, 15908, 8147, 16473, 21639]","[11422]","Not Found","0.0","0-75"
"0.5","2022666107","Laws","When was the report released?","[13116, 1304, 13048, 16884, 17994, 25059, 7624, 23065, 5554, 17550]","[11423]","Not Found","0.0","0-75"
"0.5","52b3137455e7ca4df65021a200aef724","Tutorial/Workshop","What is the title of module 1?","[4086, 4062, 4081, 4054, 4436, 4063, 4075, 4579, 4080, 5371]","[4085]","Not Found","0.0","75-100"
"0.5","52b3137455e7ca4df65021a200aef724","Tutorial/Workshop","What is the web address in the orange box in page 47 that gives the Wiki Query Service code?","[4184, 4177, 4187, 4423, 4417, 4176, 4125, 4119, 4419, 4420]","[4223]","Not Found","0.0","75-100"
"0.5","52b3137455e7ca4df65021a200aef724","Tutorial/Workshop","What is the sum of the files size of the 2 files with the smallest file size in the table on page 98?","[4190, 8453, 4209, 2113, 3946, 307, 718, 914, 2009, 716]","[4477]","Not Found","0.0","75-100"
"0.5","52b3137455e7ca4df65021a200aef724","Tutorial/Workshop","What is the color of the zone Mali in the map used to demonstrate GeoShapes using SPARQL and OSM?","[4402, 4405, 4423, 4410, 4417, 4310, 4400, 4399, 4418, 4073]","[4402]","1","1.0","75-100"
"0.5","52b3137455e7ca4df65021a200aef724","Tutorial/Workshop","Which example notebook does module 3 use to show how to create an interactive map?","[4500, 4053, 4079, 4526, 4054, 4046, 4431, 4080, 4524, 4395]","[4489, 4493]","Not Found","0.0","75-100"
"0.5","52b3137455e7ca4df65021a200aef724","Tutorial/Workshop","How many distinct Netherlands location images does this slide use as examples?","[4081, 4114, 4095, 1064, 4129, 4395, 11204, 11196, 4125, 5231]","[4249, 4266, 4115]","Not Found","0.0","75-100"
"0.5","2401.18059v1","Academic paper","In figure 4, which nodes are retrieved by RAPTOR for both questions?","[2244, 2102, 1335, 2110, 1320, 2065, 1300, 2267, 2133, 2417]","[2110]","4","1.0","75-100"
"0.5","2401.18059v1","Academic paper","What are the horizontal and vertical axis of Figure 3 respectively?","[661, 217, 44, 1313, 1311, 53, 43, 891, 11123, 7865]","[2100]","Not Found","0.0","75-100"
"0.5","2401.18059v1","Academic paper","Based on ""PSEUDOCODE FOR RETRIEVAL METHODS"", which algorithm has more number of lines? (Give the algorithm name)","[2242, 2241, 2070, 1913, 1942, 1522, 2290, 2271, 1891, 1878]","[2242, 2245]","1","0.5","75-100"
"0.5","2401.18059v1","Academic paper","In Figure 1's demonstration, what are the color of the nodes that appear in more than one clusters?","[612, 1313, 86, 2066, 2330, 1740, 2343, 11848, 2093, 1836]","[2066]","4","1.0","75-100"
"0.5","2401.18059v1","Academic paper","What model is the clustering algorithm of this paper based on, and what presents a challenge to it?","[1512, 2088, 1922, 2087, 2409, 1776, 51, 1872, 2197, 1614]","[2081, 2083]","Not Found","0.0","75-100"
"0.5","2401.18059v1","Academic paper","Write down the pseudo code from appendix that corresponds to step 5 of the tree traversal method","[2242, 2090, 2245, 11916, 12014, 11982, 1280, 1906, 1333, 2093]","[2080, 2081, 2242, 2091, 2092, 2094]","1","0.17","75-100"
"0.5","2312.10997v5","Academic paper","In the figure that has a tree shape, what is the name of the branch that has the least leafs?","[2096, 11525, 11523, 11404, 11746, 11463, 11465, 2382, 12056, 11405]","[1836]","Not Found","0.0","75-100"
"0.5","2312.10997v5","Academic paper","In figure 3, how many distinct icons are used?","[11370, 212, 2290, 11152, 197, 266, 392, 202, 1101, 2892]","[1858, 1846]","Not Found","0.0","75-100"
"0.5","2312.10997v5","Academic paper","What is the paper's full title that proposes the method that has a retrieval granularity of phrase?","[1812, 1887, 2004, 3801, 1814, 1816, 2061, 1813, 2063, 2027]","[1878, 1997, 2014]","Not Found","0.0","75-100"
"0.5","2312.10997v5","Academic paper","According to table II, which are the datasets that has exactly three methods?","[1833, 1519, 1878, 2112, 1531, 1517, 1910, 2242, 1520, 1526]","[1967]","Not Found","0.0","75-100"
"0.5","2312.10997v5","Academic paper","Which subsection does the section ""AUGMENTATION PROCESS IN RAG"" include?","[1854, 2004, 1846, 1867, 1869, 1878, 1990, 1833, 1931, 1839]","[1937, 1933, 1941]","Not Found","0.0","75-100"
"0.5","2312.10997v5","Academic paper","Which method integrates knowledge into white-box models via directive fine-tuning?","[1916, 1917, 1928, 1867, 1832, 124, 76, 25, 5410, 1870]","[1916, 1900, 1917, 1902]","1","0.5","75-100"
"0.5","Bergen-Brochure-en-2022-23","Brochure","How many goblets appear in the figure showing Skyskraoeren?","[7475, 1064, 314, 5541, 8516, 1062, 6025, 11628, 4314, 4530]","[11613, 11623]","Not Found","0.0","75-100"
"0.5","Bergen-Brochure-en-2022-23","Brochure","Which attraction in Bergen is not friendly to people with wheelchair?","[12073, 11931, 12072, 12069, 12070, 12022, 12068, 11240, 11620, 11237]","[11315, 11314, 11275, 11254]","Not Found","0.0","75-100"
"0.5","Bergen-Brochure-en-2022-23","Brochure","Which transport is included in ""Norway in a Nutshell"" but not ""Sognefjord in a Nutshell""","[12026, 12023, 12024, 12045, 11548, 11206, 11596, 12027, 11353, 114]","[12029]","Not Found","0.0","75-100"
"0.5","Bergen-Brochure-en-2022-23","Brochure","How many ""WC""s are shown in the last page's map?","[4999, 12190, 4241, 4983, 5226, 12027, 4391, 4073, 4249, 5034]","[12189, 12190]","2","0.5","75-100"
"0.5","379f44022bb27aa53efd5d322c7b57bf","Research report / Introduction","What is the telephone no for The Limes Residential Home?","[2632, 2628, 2611, 2608, 2610, 2609, 2612, 2670, 5235, 5259]","[2611]","3","1.0","75-100"
"0.5","379f44022bb27aa53efd5d322c7b57bf","Research report / Introduction","List the primary questions asked about the services in this report.","[2645, 3371, 11118, 2646, 8004, 2260, 2227, 35, 386, 10592]","[2689, 2724, 2702, 2735, 2676, 2741, 2713, 2751]","Not Found","0.0","75-100"
"0.5","2311.16502v3","Academic paper","How many samples in MMMU belong to sociology subject?","[277, 356, 278, 524, 313, 1007, 304, 999, 988, 290]","[272, 277]","1","0.5","75-100"
"0.5","2311.16502v3","Academic paper","Among all samples belonging to 'Public Health' subject,  how many percentage samples showcased in this paper? Give me a ratio.","[909, 917, 910, 907, 905, 926, 913, 925, 904, 911]","[359, 360, 361, 272, 277]","Not Found","0.0","75-100"
"0.5","2311.16502v3","Academic paper","How many Economics-related error cases fall into the Error Category of Perceptual Error? ","[654, 524, 1060, 576, 771, 521, 860, 558, 1160, 691]","[362]","Not Found","0.0","75-100"
"0.5","2311.16502v3","Academic paper","Tell me all the subfields in Energy & Power subject for this dataset.","[1153, 1155, 1157, 1162, 277, 1160, 1156, 1161, 1159, 1163]","[1216]","Not Found","0.0","75-100"
"0.5","2311.16502v3","Academic paper","According to this paper,  What's the GPT-4V's performance difference between CS subject and math subject on MMMU datasets? ","[564, 1718, 1097, 310, 311, 1768, 2427, 314, 319, 278]","[353, 354, 356, 357]","Not Found","0.0","75-100"
"0.5","2311.16502v3","Academic paper","How many different icon are shown as different image types in Figure 1?","[292, 266, 2365, 438, 1213, 1217, 389, 5621, 373, 2333]","[266]","2","1.0","75-100"
"0.5","2311.16502v3","Academic paper","How many charts are included in Pages 5-10?","[8742, 10877, 307, 5966, 4390, 295, 4389, 6445, 6752, 1248]","[323, 295, 307, 311, 318]","3","0.4","75-100"
"0.5","2311.16502v3","Academic paper","According to this paper, among nice different datasets in Fig 4, which one can reflect the most breadth of knowledge?","[295, 2206, 298, 275, 279, 1479, 332, 1304, 10805, 1339]","[295]","1","1.0","75-100"
"0.5","2311.16502v3","Academic paper","List the top-3 error types over 150 annotated GPT-4V errors in Figure 6","[1023, 832, 1160, 318, 1049, 321, 605, 322, 513, 753]","[322, 326, 327, 307, 310, 316, 318]","4","0.29","75-100"
"0.5","698bba535087fa9a7f9009e172a7f763","Research report / Introduction","What date is mentioned on the second page? Format the date as YYYY-MM","[9597, 11589, 4526, 12044, 5299, 9596, 9590, 9593, 5736, 5472]","[4560]","Not Found","0.0","75-100"
"0.5","698bba535087fa9a7f9009e172a7f763","Research report / Introduction","What is the Email address in this document on the second cover page?","[11924, 504, 4250, 516, 523, 8091, 4252, 4256, 4263, 8093]","[4559]","Not Found","0.0","75-100"
"0.5","698bba535087fa9a7f9009e172a7f763","Research report / Introduction","How many square miles did the Hamilton country covers on year 1882? Return me a rounded integer.","[4614, 4597, 4617, 4653, 4586, 4621, 4569, 4636, 4594, 4637]","[4592, 4597]","2","0.5","75-100"
"0.5","698bba535087fa9a7f9009e172a7f763","Research report / Introduction","What was the population of the city with the largest font on the map on Page 3 in 1890? Answer in int format","[5267, 4640, 5273, 5284, 5271, 5266, 4638, 5274, 5270, 4114]","[4640, 4594]","2","0.5","75-100"
"0.5","698bba535087fa9a7f9009e172a7f763","Research report / Introduction","How many pages does websites address appeared? List all the pages in list format, for example [""p1"",""p2""]","[187, 4078, 4516, 4518, 4488, 4081, 4102, 4080, 4100, 7400]","[4640, 4603, 4621, 4614]","Not Found","0.0","75-100"
"0.5","698bba535087fa9a7f9009e172a7f763","Research report / Introduction","What are the counties mentioned in the document?","[4618, 4563, 4882, 4579, 4637, 4562, 5721, 4932, 3696, 4627]","[4645, 4562, 4563, 4600, 4606]","2","0.4","75-100"
"0.5","698bba535087fa9a7f9009e172a7f763","Research report / Introduction","How many square miles does the Hamilton country covers according to the document? Give me an appropriate integer.","[4586, 4636, 4614, 4597, 4617, 4594, 4616, 4620, 4625, 4633]","[4592, 4597]","4","0.5","75-100"
"0.5","698bba535087fa9a7f9009e172a7f763","Research report / Introduction","how many tables are included in the document?","[6101, 6135, 6137, 6104, 6220, 6286, 6019, 5876, 4572, 4574]","[4640, 4603, 4621, 4614]","Not Found","0.0","75-100"
"0.5","698bba535087fa9a7f9009e172a7f763","Research report / Introduction","For the city where the first farmers' elevator was located, what's the Population there in 2000?","[5271, 4585, 4627, 4603, 4588, 4640, 4601, 5216, 4639, 5288]","[4640, 4626]","6","0.5","75-100"
"0.5","8e7c4cb542ad160f80fb3d795ada35d8","Research report / Introduction","What percentage of land area was rezoned in the Bronx from 2003-2007?","[5266, 5216, 5296, 5267, 5263, 5235, 5228, 5320, 5260, 5224]","[5266, 5258]","1","0.5","75-100"
